symbol,horizon,horizon_h,q_long,q_short,test_auc,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe,n_windows,pnl_positive,consistency
LINK/USDT,288,24.0,90,10,0.514725,24,11,13,0.541675,0.542825,13.028399999999998,0.16302499999999998,4,3,3/4
SOL/USDT,6,0.5,80,20,0.487025,838,423,415,0.359525,-0.173,-146.6999,-0.283675,4,0,0/4
SOL/USDT,6,0.5,85,15,0.487025,707,344,363,0.363475,-0.18015,-130.3802,-0.300025,4,0,0/4
SOL/USDT,6,0.5,90,10,0.487025,535,265,270,0.34635,-0.185025,-103.2403,-0.334175,4,0,0/4
SOL/USDT,12,1.0,80,20,0.48055000000000003,450,229,221,0.401825,-0.19775,-87.11869999999999,-0.23600000000000002,4,0,0/4
SOL/USDT,12,1.0,85,15,0.48055000000000003,401,210,191,0.386075,-0.194625,-76.09530000000001,-0.22607500000000003,4,0,0/4
SOL/USDT,12,1.0,90,10,0.48055000000000003,306,159,147,0.392,-0.16849999999999998,-50.82899999999999,-0.2115,4,1,1/4
SOL/USDT,36,3.0,80,20,0.49365,177,93,84,0.42455,-0.12055,-21.5263,-0.105125,4,1,1/4
SOL/USDT,36,3.0,85,15,0.49365,158,83,75,0.449575,-0.1467,-23.2732,-0.1153,4,1,1/4
SOL/USDT,36,3.0,90,10,0.49365,139,77,62,0.4718,-0.062025,-7.566400000000001,-0.05555000000000001,4,1,1/4
SOL/USDT,72,6.0,80,20,0.48795,91,49,42,0.49805000000000005,-0.002700000000000008,-1.9313000000000002,-0.007399999999999997,4,2,2/4
SOL/USDT,72,6.0,85,15,0.48795,85,47,38,0.44995,-0.09069999999999999,-8.9997,-0.04665,4,2,2/4
SOL/USDT,72,6.0,90,10,0.48795,68,37,31,0.503275,-0.08534999999999998,-3.8143000000000002,-0.013599999999999987,4,1,1/4
SOL/USDT,144,12.0,80,20,0.50595,50,29,21,0.5801499999999999,0.1866,9.1816,0.092625,4,4,4/4
SOL/USDT,144,12.0,85,15,0.50595,49,31,18,0.5096,-0.27442500000000003,-13.0615,-0.09365000000000001,4,2,2/4
SOL/USDT,144,12.0,90,10,0.50595,45,27,18,0.5132749999999999,-0.026174999999999997,-1.1749999999999998,-0.026725,4,1,1/4
SOL/USDT,288,24.0,80,20,0.4964,25,14,11,0.60715,-0.010050000000000003,-1.2439000000000018,0.17969999999999997,4,2,2/4
SOL/USDT,288,24.0,85,15,0.4964,24,16,8,0.54165,0.52105,12.5056,0.28390000000000004,4,2,2/4
SOL/USDT,288,24.0,90,10,0.4964,24,13,11,0.5416749999999999,1.4497,34.7928,0.360475,4,3,3/4
XRP/USDT,6,0.5,80,20,0.50795,765,377,388,0.359825,-0.12675,-95.9114,-0.24539999999999998,4,0,0/4
XRP/USDT,6,0.5,85,15,0.50795,651,323,328,0.356725,-0.12485,-81.7235,-0.26339999999999997,4,0,0/4
XRP/USDT,6,0.5,90,10,0.50795,509,256,253,0.3832,-0.127175,-66.5528,-0.256525,4,0,0/4
XRP/USDT,12,1.0,80,20,0.5165,433,217,216,0.38827500000000004,-0.16547499999999998,-71.682,-0.241325,4,0,0/4
XRP/USDT,12,1.0,85,15,0.5165,372,195,177,0.3917,-0.12675,-46.9221,-0.20135,4,0,0/4
XRP/USDT,12,1.0,90,10,0.5165,305,152,153,0.41295,-0.09620000000000001,-29.6086,-0.169075,4,0,0/4
XRP/USDT,36,3.0,80,20,0.49805,175,86,89,0.42305000000000004,-0.23175,-40.5119,-0.18375,4,0,0/4
XRP/USDT,36,3.0,85,15,0.49805,167,84,83,0.40655,-0.2689,-44.5904,-0.215725,4,0,0/4
XRP/USDT,36,3.0,90,10,0.49805,145,67,78,0.45867500000000005,-0.23190000000000002,-31.8884,-0.180475,4,1,1/4
XRP/USDT,72,6.0,80,20,0.46852499999999997,88,45,43,0.45230000000000004,-0.102475,-7.941000000000001,-0.103975,4,2,2/4
XRP/USDT,72,6.0,85,15,0.46852499999999997,83,38,45,0.43595,-0.015199999999999991,-0.2684999999999995,-0.012299999999999991,4,2,2/4
XRP/USDT,72,6.0,90,10,0.46852499999999997,79,39,40,0.4316,-0.2417,-18.5112,-0.17155,4,1,1/4
XRP/USDT,144,12.0,80,20,0.4832,49,30,19,0.40865,-0.25205,-12.313699999999999,-0.13795000000000002,4,1,1/4
XRP/USDT,144,12.0,85,15,0.4832,46,28,18,0.41285,-0.4732,-22.436500000000002,-0.24465,4,0,0/4
XRP/USDT,144,12.0,90,10,0.4832,44,25,19,0.509475,-0.11055000000000001,-6.3065,-0.04195,4,2,2/4
XRP/USDT,288,24.0,80,20,0.44177500000000003,26,12,14,0.619025,0.85275,21.738500000000002,0.32347499999999996,4,3,3/4
XRP/USDT,288,24.0,85,15,0.44177500000000003,25,11,14,0.5535749999999999,0.4737,13.1832,0.2583,4,2,2/4
XRP/USDT,288,24.0,90,10,0.44177500000000003,24,15,9,0.375,-0.425275,-10.206700000000001,-0.19715,4,1,1/4
