symbol,horizon,horizon_h,q_long,q_short,window,test_auc,best_iter,n_trades,n_long,n_short,win_rate,avg_ret_pct,pnl_pct,sharpe
LINK/USDT,144,12.0,90,10,2,0.5415,2,12,7,5,0.4167,-0.424,-5.0875,-0.2372
LINK/USDT,144,12.0,85,15,2,0.5415,2,12,9,3,0.4167,0.4894,5.8734,0.2369
LINK/USDT,144,12.0,80,20,2,0.5415,2,13,9,4,0.5385,0.6266,8.1463,0.3097
LINK/USDT,144,12.0,90,10,3,0.49,2,11,6,5,0.4545,0.0005,0.0059,0.0003
LINK/USDT,144,12.0,85,15,3,0.49,2,12,6,6,0.25,-1.421,-17.0519,-0.9386
LINK/USDT,144,12.0,80,20,3,0.49,2,13,4,9,0.3846,0.3523,4.5802,0.188
LINK/USDT,144,12.0,90,10,4,0.5371,1,11,9,2,0.3636,-1.179,-12.9687,-0.3386
LINK/USDT,144,12.0,85,15,4,0.5371,1,12,7,5,0.5833,-0.5392,-6.4707,-0.1557
LINK/USDT,144,12.0,80,20,4,0.5371,1,12,7,5,0.5833,-0.6027,-7.232,-0.1791
LINK/USDT,288,24.0,90,10,1,0.5798,1,6,4,2,0.5,-0.0353,-0.2117,-0.0164
LINK/USDT,288,24.0,85,15,1,0.5798,1,6,4,2,0.5,-0.0351,-0.2108,-0.0163
LINK/USDT,288,24.0,80,20,1,0.5798,1,6,5,1,0.3333,-1.6255,-9.7532,-0.6274
LINK/USDT,288,24.0,90,10,2,0.5532,1,6,3,3,0.5,0.9477,5.6865,0.3231
LINK/USDT,288,24.0,85,15,2,0.5532,1,6,2,4,0.3333,-1.3284,-7.9702,-0.4383
LINK/USDT,288,24.0,80,20,2,0.5532,1,6,3,3,0.1667,-2.0963,-12.578,-0.8122
LINK/USDT,288,24.0,90,10,3,0.4436,1,6,2,4,0.5,0.3433,2.0599,0.1172
LINK/USDT,288,24.0,85,15,3,0.4436,1,6,2,4,0.5,0.3433,2.0599,0.1172
LINK/USDT,288,24.0,80,20,3,0.4436,1,6,1,5,0.5,0.2294,1.3764,0.0794
LINK/USDT,288,24.0,90,10,4,0.4823,1,6,2,4,0.6667,0.9156,5.4937,0.2282
LINK/USDT,288,24.0,85,15,4,0.4823,1,6,1,5,0.6667,2.7314,16.3886,0.7567
LINK/USDT,288,24.0,80,20,4,0.4823,1,6,1,5,0.6667,3.1453,18.872,0.769
XRP/USDT,6,0.5,90,10,1,0.5125,2,101,53,48,0.3564,-0.0785,-7.9282,-0.2031
XRP/USDT,6,0.5,85,15,1,0.5125,2,137,71,66,0.2993,-0.1202,-16.4615,-0.2844
XRP/USDT,6,0.5,80,20,1,0.5125,2,167,85,82,0.2994,-0.1645,-27.4793,-0.3071
XRP/USDT,6,0.5,90,10,2,0.4948,3,131,69,62,0.3664,-0.1595,-20.8941,-0.3082
XRP/USDT,6,0.5,85,15,2,0.4948,3,172,87,85,0.343,-0.1292,-22.2144,-0.2889
XRP/USDT,6,0.5,80,20,2,0.4948,3,201,105,96,0.3433,-0.1148,-23.0673,-0.2627
XRP/USDT,6,0.5,90,10,3,0.501,4,144,70,74,0.3889,-0.1576,-22.6877,-0.34
XRP/USDT,6,0.5,85,15,3,0.501,4,176,82,94,0.375,-0.1542,-27.1461,-0.3271
XRP/USDT,6,0.5,80,20,3,0.501,4,203,91,112,0.3842,-0.1329,-26.9795,-0.2603
XRP/USDT,6,0.5,90,10,4,0.5235,53,133,64,69,0.4211,-0.1131,-15.0428,-0.1748
XRP/USDT,6,0.5,85,15,4,0.5235,53,166,83,83,0.4096,-0.0958,-15.9015,-0.1532
XRP/USDT,6,0.5,80,20,4,0.5235,53,194,96,98,0.4124,-0.0948,-18.3853,-0.1515
XRP/USDT,12,1.0,90,10,1,0.4787,6,86,43,43,0.2907,-0.1834,-15.7683,-0.4278
XRP/USDT,12,1.0,85,15,1,0.4787,6,102,55,47,0.3529,-0.1503,-15.3335,-0.3364
XRP/USDT,12,1.0,80,20,1,0.4787,6,114,61,53,0.3246,-0.1728,-19.6948,-0.3634
XRP/USDT,12,1.0,90,10,2,0.5223,1,54,23,31,0.537,-0.0972,-5.2476,-0.1204
XRP/USDT,12,1.0,85,15,2,0.5223,1,70,34,36,0.4143,-0.1357,-9.502,-0.1876
XRP/USDT,12,1.0,80,20,2,0.5223,1,83,37,46,0.4217,-0.1528,-12.68,-0.2137
XRP/USDT,12,1.0,90,10,3,0.5126,101,82,44,38,0.4024,-0.0562,-4.6076,-0.0834
XRP/USDT,12,1.0,85,15,3,0.5126,101,99,53,46,0.3838,-0.1196,-11.8407,-0.1812
XRP/USDT,12,1.0,80,20,3,0.5126,101,122,63,59,0.377,-0.1209,-14.7534,-0.1625
XRP/USDT,12,1.0,90,10,4,0.5524,61,83,42,41,0.4217,-0.048,-3.9851,-0.0447
XRP/USDT,12,1.0,85,15,4,0.5524,61,101,53,48,0.4158,-0.1014,-10.2459,-0.1002
XRP/USDT,12,1.0,80,20,4,0.5524,61,114,56,58,0.4298,-0.2154,-24.5538,-0.2257
XRP/USDT,36,3.0,90,10,1,0.4208,3,35,16,19,0.4,-0.339,-11.8664,-0.28
XRP/USDT,36,3.0,85,15,1,0.4208,3,43,17,26,0.3953,-0.3469,-14.9148,-0.3318
XRP/USDT,36,3.0,80,20,1,0.4208,3,45,19,26,0.4222,-0.2545,-11.4513,-0.2329
XRP/USDT,36,3.0,90,10,2,0.4886,3,36,17,19,0.3889,-0.4403,-15.8516,-0.3134
XRP/USDT,36,3.0,85,15,2,0.4886,3,40,20,20,0.325,-0.4159,-16.6366,-0.302
XRP/USDT,36,3.0,80,20,2,0.4886,3,43,21,22,0.3256,-0.4509,-19.3888,-0.3352
XRP/USDT,36,3.0,90,10,3,0.5113,16,33,16,17,0.4848,-0.2389,-7.8846,-0.2018
XRP/USDT,36,3.0,85,15,3,0.5113,16,39,20,19,0.4615,-0.1724,-6.7224,-0.1313
XRP/USDT,36,3.0,80,20,3,0.5113,16,42,20,22,0.5,-0.1003,-4.2114,-0.0806
XRP/USDT,36,3.0,90,10,4,0.5715,4,41,18,23,0.561,0.0906,3.7142,0.0733
XRP/USDT,36,3.0,85,15,4,0.5715,4,45,27,18,0.4444,-0.1404,-6.3166,-0.0978
XRP/USDT,36,3.0,80,20,4,0.5715,4,45,26,19,0.4444,-0.1213,-5.4604,-0.0863
XRP/USDT,72,6.0,90,10,1,0.4134,1,17,12,5,0.2353,-0.2792,-4.7458,-0.3094
XRP/USDT,72,6.0,85,15,1,0.4134,1,18,14,4,0.2222,-0.3001,-5.4023,-0.2798
XRP/USDT,72,6.0,80,20,1,0.4134,1,18,13,5,0.2222,-0.3789,-6.8197,-0.4581
XRP/USDT,72,6.0,90,10,2,0.4336,2,21,9,12,0.381,-0.5942,-12.4777,-0.3104
XRP/USDT,72,6.0,85,15,2,0.4336,2,22,8,14,0.3636,-0.2786,-6.1293,-0.1349
XRP/USDT,72,6.0,80,20,2,0.4336,2,24,11,13,0.5,-0.4062,-9.7493,-0.1949
XRP/USDT,72,6.0,90,10,3,0.4458,222,19,9,10,0.4737,-0.2555,-4.8544,-0.1726
